GEO_id,GEO_id2,GEO_display_label,HC03_EST_VC01
Id,Id2,Geography,Percent below poverty level; Estimate; Population for whom poverty status is determined
1400000US06059075504,6059075504,"Census Tract 755.04, Orange County, California",7
1400000US06059075505,6059075505,"Census Tract 755.05, Orange County, California",8.3
1400000US06059075506,6059075506,"Census Tract 755.06, Orange County, California",5
1400000US06059075507,6059075507,"Census Tract 755.07, Orange County, California",13.2
1400000US06059075512,6059075512,"Census Tract 755.12, Orange County, California",24
1400000US06059075513,6059075513,"Census Tract 755.13, Orange County, California",9.8
1400000US06059075514,6059075514,"Census Tract 755.14, Orange County, California",29.8
1400000US06059075515,6059075515,"Census Tract 755.15, Orange County, California",19.4
1400000US06059075603,6059075603,"Census Tract 756.03, Orange County, California",6.7
1400000US06059075604,6059075604,"Census Tract 756.04, Orange County, California",2.7
1400000US06059075605,6059075605,"Census Tract 756.05, Orange County, California",6.1
1400000US06059075606,6059075606,"Census Tract 756.06, Orange County, California",5.3
1400000US06059075607,6059075607,"Census Tract 756.07, Orange County, California",13.8
1400000US06059075701,6059075701,"Census Tract 757.01, Orange County, California",6
1400000US06059075702,6059075702,"Census Tract 757.02, Orange County, California",2.1
1400000US06059075703,6059075703,"Census Tract 757.03, Orange County, California",3.1
1400000US06059075805,6059075805,"Census Tract 758.05, Orange County, California",22.7
1400000US06059075806,6059075806,"Census Tract 758.06, Orange County, California",15.7
1400000US06059075807,6059075807,"Census Tract 758.07, Orange County, California",7.1
1400000US06059075808,6059075808,"Census Tract 758.08, Orange County, California",6.2
1400000US06059075809,6059075809,"Census Tract 758.09, Orange County, California",3.7
1400000US06059075810,6059075810,"Census Tract 758.10, Orange County, California",8.3
1400000US06059075811,6059075811,"Census Tract 758.11, Orange County, California",18.1
1400000US06059075812,6059075812,"Census Tract 758.12, Orange County, California",16.7
1400000US06059075813,6059075813,"Census Tract 758.13, Orange County, California",5.6
1400000US06059075814,6059075814,"Census Tract 758.14, Orange County, California",4.8
1400000US06059075815,6059075815,"Census Tract 758.15, Orange County, California",10.8
1400000US06059075816,6059075816,"Census Tract 758.16, Orange County, California",17.2
1400000US06059075901,6059075901,"Census Tract 759.01, Orange County, California",24.1
1400000US06059075902,6059075902,"Census Tract 759.02, Orange County, California",18.3
1400000US06059076000,6059076000,"Census Tract 760, Orange County, California",15.1
1400000US06059076101,6059076101,"Census Tract 761.01, Orange County, California",12.8
1400000US06059076102,6059076102,"Census Tract 761.02, Orange County, California",19.4
1400000US06059076103,6059076103,"Census Tract 761.03, Orange County, California",21.2
1400000US06059076201,6059076201,"Census Tract 762.01, Orange County, California",6.6
1400000US06059076202,6059076202,"Census Tract 762.02, Orange County, California",7.4
1400000US06059076204,6059076204,"Census Tract 762.04, Orange County, California",23.1
1400000US06059076205,6059076205,"Census Tract 762.05, Orange County, California",14
1400000US06059076206,6059076206,"Census Tract 762.06, Orange County, California",11.4
1400000US06059076208,6059076208,"Census Tract 762.08, Orange County, California",12.2
1400000US06059086301,6059086301,"Census Tract 863.01, Orange County, California",15.7
1400000US06059086303,6059086303,"Census Tract 863.03, Orange County, California",15
1400000US06059086304,6059086304,"Census Tract 863.04, Orange County, California",15.8
1400000US06059086305,6059086305,"Census Tract 863.05, Orange County, California",12.3
1400000US06059086306,6059086306,"Census Tract 863.06, Orange County, California",13.5
1400000US06059086402,6059086402,"Census Tract 864.02, Orange County, California",17.6
1400000US06059086404,6059086404,"Census Tract 864.04, Orange County, California",13
